pr_name,created_date,author
"Chore 12866 bump utopia database point operator fix","2026-07-19T20:15:52Z","ppandit12"
"fix: release organization domain quota when changing or deleting custom domains","2026-07-18T15:37:15Z","AdityaOP007"
"Migrate user-agent detection to Utopia","2026-07-17T13:24:57Z","loks0n"
"test: reproduce spatial isNull/isNotNull bug, then fix via database bump","2026-07-17T08:34:36Z","HarshMN2345"
"feat(locale): add Sign Language (sgn) to languages list (#8201)","2026-07-16T22:14:21Z","natemiller23"
"Fix installer database detection and admin account setup.","2026-07-15T18:18:39Z","nk0273926"
"Fix users update payload handling","2026-07-14T19:42:32Z","Akanshagore"
"fix:JWT still valid after Session Timeout bug","2026-07-14T18:16:21Z","Palak-agrawal123"
"fix(auth): support legacy OAuth provider secrets after upgrades","2026-07-12T20:15:34Z","AdityaOP007"
"fix: authenticate Redis connections with user and password (#3309)","2026-07-12T18:10:03Z","RushikeshGandhmal"
"feat: allow nullable title/body for FCM data-only push notifications (#8307)","2026-07-12T16:41:32Z","RushikeshGandhmal"
"Fix remaining Users null optional params for targets and tokens","2026-07-12T13:31:03Z","RushikeshGandhmal"
"fix(proxy): auto-issue TLS certificates for Appwrite-owned domains","2026-07-11T18:58:26Z","schneidermr"
"fix(users): guard permanent console user deletion (#11393)","2026-07-11T18:09:03Z","schneidermr"
"Prevent empty JWT session lookup","2026-07-10T20:50:07Z","Akanshagore"
"test: add Gitea CI/dev environment and E2E test","2026-07-09T12:21:25Z","HarshMN2345"
"Add migration duplicate mode E2E coverage","2026-07-08T10:24:49Z","premtsd-code"
"region check VCS route","2026-07-08T08:49:31Z","fogelito"
"Fix null name handling","2026-07-07T19:56:00Z","Akanshagore"
"Fix truncated site detection logs","2026-07-07T15:58:27Z","TorstenDittmann"
"docs: improve async parameter description","2026-07-07T12:17:37Z","WaghuleAsmita"
"Decouple Appwrite request helpers","2026-07-06T17:53:49Z","loks0n"
"Upgrade utopia/http to PSR request release","2026-07-06T15:56:03Z","loks0n"
"Migrate resource events to typed Bus dispatch","2026-07-06T08:34:58Z","loks0n"
"fix(auth): use random_int for anti-phishing phrase generation","2026-07-04T07:58:20Z","Swaraj234"
"Adapter-driven VCS providers with Gitea support","2026-07-02T13:40:44Z","HarshMN2345"
"fix: make V24 migration resilient to existing attributes","2026-07-02T13:31:32Z","Shivay-98"
"feat: add generic 'limit' route label for downstream usage/quota enforcement","2026-07-01T11:38:11Z","lohanidamodar"
"Fix/users update prefs event payload","2026-07-01T07:38:11Z","TechGenius-Karan"
"fix: restrict CodeQL workflow permissions on branch 1.5.x","2026-06-30T14:57:12Z","sricharan218"
"fix: restrict CodeQL workflow permissions on 1.4.x","2026-06-30T14:51:05Z","sricharan218"
"fix: restrict CodeQL workflow permissions on release-sdks","2026-06-30T14:46:43Z","sricharan218"
"fix(sites): serve single static file when adapter is preset to ""static""","2026-06-29T16:50:24Z","hemraj-007"
"Pr 12707","2026-06-29T09:26:35Z","GenGraphic"
"fix(graphql): update project and user accessedAt during GraphQL requests","2026-06-26T11:47:08Z","deepshekhardas"
"Upgrade utopia-php/http to rc13 and adopt HYPERLOOP_B server mode","2026-06-25T21:47:11Z","loks0n"
"fix: use warning instead of exception on adapter mismatch","2026-06-25T12:50:09Z","HarshMN2345"
"fix(mails): retry SMTP send once on 421 timeout (stale keepalive)","2026-06-25T08:20:45Z","deepshekhardas"
"fix(users): rebuild search index on partial user updates","2026-06-25T08:13:52Z","deepshekhardas"
"fix(builds): mask internal errors from user-visible build logs","2026-06-25T08:08:03Z","deepshekhardas"
"feat(messaging): deliver email messages to raw email addresses","2026-06-25T04:59:53Z","abnegate"
"docs(sdk): add missing docstrings for call method in TS SDKs","2026-06-24T10:49:23Z","jashwanth-reddy-g"
"Partial update to avoid clobbering concurrent changes","2026-06-24T05:35:33Z","fogelito"
"Surface and report Appwrite migration report failures","2026-06-23T17:17:12Z","premtsd-code"
"fix: stream large file uploads to S3 instead of loading into memory","2026-06-23T14:36:47Z","gouthamx67"
"fix: reset event queue when params are unset to prevent generateEvents errors","2026-06-23T13:18:09Z","HarshMN2345"
"Atomic update arrays","2026-06-22T12:57:23Z","fogelito"
"Partial Update","2026-06-21T08:13:00Z","fogelito"
"fix: allow null name in create user endpoints","2026-06-21T01:04:57Z","yadavlokesh1"
"fix: handle null for optional params in user target and token endpoints","2026-06-19T07:53:06Z","TechGenius-Karan"
"Fix: CLOUD-STAGING-5RC","2026-06-18T10:02:14Z","claudear"
"Handle duplicate conflicts in account and teams routes","2026-06-18T06:11:06Z","abnegate"
"fix: normalize sort order to uppercase before validation (#12600)","2026-06-16T13:09:53Z","thibtw"
"fix: allow null name parameter in user creation endpoints","2026-06-14T06:01:39Z","Shaan-alpha"
"feat: split password personal data policy into granular field toggles","2026-06-12T02:27:18Z","deepshekhardas"
"fix: handle null name parameter in CreateUser endpoint","2026-06-12T02:16:10Z","deepshekhardas"
"Resolve locks through lock pool","2026-06-10T13:45:14Z","premtsd-code"
"Feat/granular password personal data policy","2026-06-10T13:13:23Z","HarshMN2345"
"fix: shorten impersonation security scheme descriptions","2026-06-09T09:01:43Z","HarshMN2345"
"fix: correct dev key CORS handling and add regression coverage","2026-06-09T05:43:56Z","AdityaOP007"
"Fix flaky realtime tests","2026-06-09T01:15:35Z","deepshekhardas"
"Fix execution ownership validation (&& -> ||)","2026-06-09T01:14:41Z","deepshekhardas"
"chore: improve appwrite maintenance path","2026-06-08T07:25:31Z","quyentonndbs"
"fix: add file encryption property","2026-06-08T04:23:31Z","deepshekhardas"
"chore: migrate to utopia-php/http safe-wildcards","2026-06-08T04:23:12Z","deepshekhardas"
"perf(databases): parallelize schema worker + e2e infra/timeout tuning","2026-06-07T22:27:45Z","loks0n"
"Fix function execution delete ownership check","2026-06-07T17:27:55Z","abhay-dev2901"
"fix(sqlite): resolve split-brain and unfiltered fulltext index issues (PR #12180 fixes)","2026-06-07T01:05:16Z","deepshekhardas"
"fix(account): add smtpBaseTemplate and heading support to OTP email/phone recovery (PR #11973 fixes)","2026-06-07T01:05:07Z","deepshekhardas"
"Fix users create endpoints accepting null name","2026-06-06T08:10:22Z","avisii1680769-cell"
"fix the controllers","2026-06-06T06:06:33Z","Saif0933"
"fix: validate session expiry during JWT authentication","2026-06-06T01:42:11Z","tysoncung"
"fix: enforce light theme only in email templates","2026-06-05T06:42:48Z","HarshMN2345"
"readded the apivectorsdb trait","2026-06-04T12:20:12Z","ArnabChatterjee20k"
"fix(builds): resolve 4 active defects in orchestrator build backend","2026-06-04T05:35:49Z","deepshekhardas"
"fix(oidc): allow clearing maxAge via explicit null in OIDC update","2026-06-04T05:35:24Z","deepshekhardas"
"feat(messaging): add Appwrite Push provider","2026-06-04T02:40:23Z","abnegate"
"Feat sites list runtimes","2026-06-03T13:46:51Z","HarshMN2345"
"feat: expose email metadata fields in user response model","2026-06-03T11:10:37Z","HarshMN2345"
"fix(databases): emit create events for relationship-cascaded child documents","2026-06-03T05:49:59Z","deepshekhardas"
"feat: add explain endpoints for rows and documents query plans","2026-06-03T05:49:53Z","deepshekhardas"
"fix: reject root directory path traversal in builds worker","2026-06-02T05:45:30Z","abnegate"
"chore: give realtime workers a dedicated pub/sub connection","2026-06-01T14:17:11Z","loks0n"
"Add explain endpoints for rows and documents query plans","2026-06-01T11:25:10Z","premtsd-code"
"fix: add CORS headers to GraphQL POST responses","2026-06-01T07:22:04Z","deepshekhardas"
"fix(tablesdb): add databaseId and fix tableId in transaction row event payload","2026-05-31T05:50:06Z","deepshekhardas"
"fix: Etsy OAuth2 PKCE, Yahoo scopes, realtime filters, executor retry, and more","2026-05-31T05:43:29Z","deepshekhardas"
"fix: emit documents.*.create events for relationship-cascaded child documents","2026-05-31T05:43:22Z","deepshekhardas"
"Fix issue 3 redundant verification","2026-05-30T18:15:00Z","Jualhosting"
"Fix 8000 jwt session expiry","2026-05-30T17:20:36Z","Jualhosting"
"Fix: Handle null name parameter in createUser endpoints","2026-05-30T16:51:42Z","Jualhosting"
"Fix typos found by codespell","2026-05-30T05:30:48Z","TheChyeahhh"
"Fix TablesDB transaction row event payload IDs","2026-05-29T07:39:00Z","abhay-dev2901"
"refactor: user impersonation","2026-05-29T06:20:09Z","HarshMN2345"
"fix(messaging): preserve To header for SMTP emails","2026-05-28T11:57:58Z","abhay-dev2901"
"fix(storage): add missing encryption/compression properties to File model with validated defaults","2026-05-27T10:25:08Z","deepshekhardas"
"Fix duplicate namespaces in docs descriptions","2026-05-26T13:01:33Z","HarshMN2345"
"feat:12395-Add workflow to welcome first time contributors","2026-05-26T07:55:01Z","hasithasandunlakshan"
"fix(migrations): correctly route SourceAppwrite reads to local DB or SDK","2026-05-24T10:14:01Z","deepshekhardas"
"fix(users): ensure prefs update event returns full user payload","2026-05-24T10:14:00Z","deepshekhardas"
"feat(messaging): add Vonage Messages API SMS provider","2026-05-18T15:52:05Z","sameerpashaaa"
"fix(locale): improve zh-cn email template translations","2026-05-18T12:22:06Z","chandana2624"
"fix(account): validate null user name","2026-05-18T06:24:06Z","ThulaxanUthayakumar"
"Log build command in deployment build logs","2026-05-17T09:56:54Z","lohanidamodar"
"fix(oauth2): pass Authorization header to Etsy API request","2026-05-16T05:04:16Z","deepshekhardas"
"fix(12301): Unable to Restore Paused Project","2026-05-15T21:54:26Z","555aaditya"
"Fix: VCS branch pagination","2026-05-14T10:44:53Z","HarshMN2345"
"fix: security hardening — OAuth2, HMAC, MFA timing, cURL, PRNG","2026-05-14T10:23:05Z","Gurjit-30"
"feat(usage): add databases.operations.reads.cached metric","2026-05-13T01:55:21Z","lohanidamodar"
"feat(realtime): dedicated Sentry project — spans for per-action errors, logger for ad-hoc","2026-05-12T13:13:34Z","premtsd-code"
"chore(deps): bump appwrite/appwrite PHP SDK to 23.1.1","2026-05-12T11:28:42Z","premtsd-code"
"fix(users): mark name as nullable in createUser endpoints","2026-05-12T00:17:59Z","henrybrewer00-dotcom"
"Throw Migration\Exception from migrations worker instead of HTTP error catalog","2026-05-11T07:35:11Z","premtsd-code"
"fix(auth): validate session expiry during JWT authentication","2026-05-10T19:04:18Z","jonasboos"
"fix(users): handle null name parameter in CreateUser endpoints","2026-05-10T18:53:23Z","jonasboos"
"Fix nullable name validation for create user endpoints","2026-05-09T18:25:53Z","Meexargha"
"Revise README-CN.md content and structure","2026-05-09T17:17:36Z","BretRen"
"Solved issue 8785 regarding the server error when null name provided","2026-05-09T10:17:27Z","AdityaOP007"
"fix: make variableId optional in createProjectVariable endpoint","2026-05-09T08:26:56Z","ThimiraSadeesha"
"Fix:GraphQL enum mapping for database attributes","2026-05-08T19:01:15Z","sarthaksaitwal"
"perf(storage): stream cached preview responses","2026-05-08T11:57:45Z","TorstenDittmann"
"fix: prevent NotFoundException during console project maintenance","2026-05-07T08:58:12Z","ShameelMohamed"
"fix: skip stale repositories referencing deleted projects in VCS deployments","2026-05-05T07:03:13Z","HarshMN2345"
"Fix CSV export hang and double extension bugs","2026-05-04T18:28:08Z","bhardwajparth51"
"Fix OAuth PKCE length, Webhook SSRF, and Crypto Type Errors","2026-05-03T19:42:23Z","Sunil56224972"
"Return project_not_found when project region does not match _APP_REGION","2026-05-03T03:19:59Z","eldadfux"
"feat(locale): add sign language","2026-04-30T07:47:25Z","FerRubioMorales"
"feat: wire SQLite database adapter for tests","2026-04-29T12:41:43Z","abnegate"
"fix: use documentId parameter instead of document->getId() in updateDocument","2026-04-29T03:10:43Z","lulorojas"
"Fix: Prevent identity spoofing in document creation by enforcing server-side ownership","2026-04-27T14:11:34Z","vivekrajpoot484-crypto"
"docs: update default session limit to 100","2026-04-26T20:05:15Z","Keyvan1369"
"Fix #11984: add E2E coverage for scheduled execution boundaries","2026-04-23T14:03:52Z","Kimgyuilli"
"fix(storage): allow cache bypass and refuse to cache non-image responses","2026-04-23T10:26:04Z","loks0n"
"fix: Prevent crash and DNS failure when migrating from Appwrite Cloud to self-hosted","2026-04-23T06:01:04Z","vickysawant19"
"feat: add email and phone OTP password recovery endpoints","2026-04-22T10:36:19Z","HarshMN2345"
"fix(users): handle null name in CreateUser endpoints (#8785)","2026-04-21T20:32:30Z","Seven7000000"
"Draft: Payload allowlist for audits","2026-04-21T08:20:16Z","Meldiron"
"feat: add internal notes field for all attribute and column types","2026-04-21T06:55:29Z","sambhusankar"
"feat(realtime): add telemetry counter for Redis pub/sub reconnection …","2026-04-20T17:48:54Z","khushal-winner"
"Feat: list email templates","2026-04-20T07:58:49Z","Meldiron"
"Fix: handled null name in user creation endpoints (#8785)","2026-04-19T22:24:22Z","imuzax"
"Fix: Handle null name in CreateUser endpoint to prevent server error","2026-04-19T17:43:30Z","utkarshhxd"
"fix: make target endpoint params nullable to prevent server error on null","2026-04-18T21:50:24Z","avasis-ai"
"fix: preserve function domain execution logs by using executor object-header format","2026-04-18T17:34:52Z","XploitMonk0x01"
"Refactor command execution to use Utopia\Command","2026-04-17T14:32:05Z","TorstenDittmann"
"fix(api): support shorthand query syntax in REST","2026-04-17T11:21:40Z","Khanvilkar20"
"updated tests","2026-04-17T09:52:35Z","ArnabChatterjee20k"
"fix: return fresh devKey document from update endpoint","2026-04-16T05:33:31Z","yogeshwaran-c"
"fix: add missing deployment ownership checks in Sites endpoints","2026-04-16T05:31:53Z","yogeshwaran-c"
"fix(auth): correct PasswordDictionary description text","2026-04-16T05:31:37Z","yogeshwaran-c"
"fix: add missing installation ownership check in VCS delete endpoint","2026-04-16T05:31:31Z","yogeshwaran-c"
"fix: add missing deployment ownership check in duplicate endpoint","2026-04-16T05:30:59Z","yogeshwaran-c"
"test(users): add regression coverage for CreateUser endpoints with null name","2026-04-16T02:41:06Z","jbaoho"
"fix(auth): resolve session alert localization for non-English locales","2026-04-16T02:39:57Z","jbaoho"
"fix: correct Authentik authorize URL","2026-04-16T00:43:27Z","abishekgiri"
"fix(graphql): prevent null return in escapePayload at max depth","2026-04-14T13:10:20Z","Akash504-ai"
"fix(auth): avoid mutating validator state in PersonalData::isValid","2026-04-14T12:40:10Z","Akash504-ai"
"fix: skip orphaned VCS repositories referencing deleted projects","2026-04-14T10:20:19Z","abnegate"
"fix: require subdomain boundary in isAppwriteOwned domain check","2026-04-12T05:34:40Z","yogeshwaran-c"
"fix: add missing enabled check in increment/decrement endpoints","2026-04-12T05:32:21Z","yogeshwaran-c"
"fix: update search attribute on storage bucket and file name changes","2026-04-12T05:31:36Z","yogeshwaran-c"
"fix: correct date format for DAU calculation in StatsResources worker","2026-04-12T05:31:01Z","yogeshwaran-c"
"fix: add missing team-membership ownership check in get and update endpoints","2026-04-12T05:28:04Z","yogeshwaran-c"
"fix: add missing deployment ownership check in status update endpoints","2026-04-12T05:01:12Z","yogeshwaran-c"
"chore: remove redundant isEmpty checks in variable endpoints","2026-04-12T04:58:12Z","yogeshwaran-c"
"fix: correct typos in Exception comment and error description","2026-04-12T04:57:17Z","yogeshwaran-c"
"fix: use correct logical operator in resource ownership validation","2026-04-12T04:53:50Z","yogeshwaran-c"
"fix: add missing sessionAlert email template keys to all locales","2026-04-12T02:41:18Z","SAY-5"
"feat: Add gitea support","2026-04-10T15:07:14Z","Meldiron"
"feat: Git commit message that skips deployment","2026-04-10T07:19:52Z","HarshMN2345"
"fix: allow null name in admin user creation endpoints","2026-04-10T02:05:27Z","machinelearningprodigy"
"ci: reduce jobs","2026-04-09T14:15:22Z","loks0n"
"doc: fix section numbering and minor grammar in add-route tutorial","2026-04-09T06:54:55Z","Akash504-ai"
"fix: webhook paused email template broken rendering","2026-04-08T17:47:50Z","pmartin-dev"
"docs: replace architecture SVG with Mermaid diagram","2026-04-08T17:26:34Z","loks0n"
"fix: allow creating project variables without variableId (#11765)","2026-04-08T11:22:12Z","aakarsh12x"
"Add E2E tests for CSV/JSON import overwrite and skip","2026-04-08T07:14:21Z","premtsd-code"
"CI: test MongoDB shared_v1/v2 only","2026-04-07T13:58:33Z","premtsd-code"
"fix: resolve critical bugs in workers and auth layer","2026-04-06T17:02:23Z","divyanshsaxena002"
"fix: add missing encryption property to file metadata (#11648)","2026-04-04T17:50:12Z","aakarsh12x"
"fix: validate proxy functions domains with empty entries (#11675)","2026-04-04T17:34:26Z","aakarsh12x"
"fix: correct pagination handling in Users API (#11651)","2026-04-04T17:22:10Z","aakarsh12x"
"fix: reindex array after array_diff to prevent malformed output (#11741)","2026-04-04T17:15:00Z","aakarsh12x"
"docs: improve readability of architecture description in README","2026-04-04T15:26:18Z","PallavSarkar2005"
"fix(locale): add missing sessionAlert translations for Spanish","2026-04-03T23:47:15Z","ashstrc"
"feat: add internal SMTP failover support","2026-04-02T14:38:56Z","TorstenDittmann"
"Add nullable validator for name parameter in CreateUser endpoints","2026-04-02T04:41:50Z","sashank-27"
"(fix): add fallback migration host","2026-04-02T03:30:11Z","abnegate"
"fix(locale): add missing session alert translations for Spanish (es)","2026-04-01T20:09:58Z","shubham8217"
"Complete Turkish (tr) translations","2026-04-01T09:35:08Z","onwp"
"removed adapters for checking","2026-04-01T07:18:53Z","ArnabChatterjee20k"
"Fix missing array_values() after array_diff() in VCS PR cleanup","2026-04-01T07:09:18Z","zaidxshaikh"
"fix: reject whitespace-only project names","2026-04-01T00:36:53Z","abishekgiri"
"ci: replace database env overrides with per-database compose files","2026-03-31T22:33:20Z","loks0n"
"bump utopia-php/database to 5.3.19","2026-03-31T11:51:50Z","premtsd-code"
"Rebalance reviewer load with CODEOWNERS","2026-03-31T07:28:33Z","nextplateinfo-wq"
"fix: VectorsDB/DocumentsDB env var names and CI test skip guards","2026-03-30T18:26:09Z","premtsd-code"
"fix: CI test failures — env vars, test skip guards for VectorsDB/DocumentsDB","2026-03-30T18:15:01Z","premtsd-code"
"Fix vague error on user registration when name is null","2026-03-30T13:34:55Z","JBR-0100"
"Fix domain validation checking wrong variable in functions domain loop","2026-03-30T12:38:41Z","zaidxshaikh"
"Fix users list pagination total by counting with filter-only queries","2026-03-30T10:45:22Z","Chintanpatel24"
"fix: Corrected typo 'generatImage' and added new tips in Vcs/Comment","2026-03-30T02:47:38Z","machinelearningprodigy"
"Filter insecure patterns in user name","2026-03-27T15:11:05Z","Meldiron"
"docs: clarify update messaging endpoints only work for draft messages","2026-03-26T18:42:43Z","sanzofr"
"fix(storage): add missing encryption and compression properties to File model","2026-03-26T16:23:37Z","BillionClaw"
"feat: migrate to utopia-php/database query-lib","2026-03-26T11:52:02Z","abnegate"
"test: add regression coverage for account recovery without a name","2026-03-26T01:43:04Z","abishekgiri"
"Feat async","2026-03-25T01:37:03Z","abnegate"
"docs: add note about version usage in installation","2026-03-24T11:04:04Z","dsk-dev-ai"
"fix: pin adminer and mongo-express image versions","2026-03-24T10:38:41Z","dsk-dev-ai"
"fix: pin redisinsight image to specific version","2026-03-24T08:59:52Z","dsk-dev-ai"
"fix: return current user session in functions when using jwt","2026-03-24T01:13:39Z","abishekgiri"
"fix: preserve anonymous user on magic URL upgrade","2026-03-24T00:57:22Z","abishekgiri"
"test: add regression tests for null name in Users.CreateUser endpoints","2026-03-24T00:39:13Z","abishekgiri"
"docs: fix XDebug 3 configuration in CONTRIBUTING.md and docker-compose.yml","2026-03-23T10:39:22Z","davidjeddy"
"fix installer wizard for dev images","2026-03-23T02:37:41Z","atharvadeosthale"
"fix: add Telnyx messaging provider support","2026-03-22T06:28:42Z","sehgalaayu"
"fix: change ProxyResourceType to string for resourceType","2026-03-21T20:40:22Z","AyushVishwakarma-CodeHub"
"PR #10: Fix wrong Authentik Auth URL (#9567)","2026-03-21T00:24:38Z","deepshekhardas"
"PR #7: Global Search across Collections (#8872)","2026-03-21T00:24:34Z","deepshekhardas"
"PR #6: Cascading Deletes in Relationships (#7723)","2026-03-21T00:24:25Z","deepshekhardas"
"Feature: Custom Headers in Webhooks (#9501)","2026-03-20T23:41:06Z","deepshekhardas"
"Improved API documentation with detailed explanations and usage examples","2026-03-19T19:52:10Z","urjitupadhya"
"fix: ignore twoWayKey for one-way relationship columns","2026-03-19T07:52:17Z","HarshMN2345"
"Tenant fix try","2026-03-18T13:07:47Z","ArnabChatterjee20k"
"fix(users): validate name in createUser","2026-03-17T19:46:06Z","Rav-xyl"
"Fix/10351 relation attribute","2026-03-16T15:54:49Z","deepshekhardas"
"Feat/vonage messages provider","2026-03-16T13:30:37Z","deepshekhardas"
"Feat/telnyx provider","2026-03-16T13:30:19Z","deepshekhardas"
"Feat/alibaba cloud provider","2026-03-16T13:29:42Z","deepshekhardas"
"Feat/onesignal provider","2026-03-16T13:27:18Z","deepshekhardas"
"Fix/storage permissions","2026-03-16T13:26:50Z","deepshekhardas"
"feat(auth): allow sorting users by last activity (accessedAt)","2026-03-15T19:29:17Z","AayushKrGupta"
"feat: add sign language codes to locale languages","2026-03-15T16:19:57Z","mvanhorn"
"Fix: users.updatePrefs returns full user object for consistency (fixes #7234)","2026-03-15T15:03:50Z","shivamtiwari3"
"fix: add missing audits.event and audits.resource labels to Projects API endpoints","2026-03-15T08:47:59Z","aay-zee"
"Feat stop on failure","2026-03-15T08:03:33Z","eldadfux"
"Fix null handling for optional Users API params","2026-03-14T23:36:31Z","ruggeropaolobasile"
"fix(i18n): translate `km` locale via i18n-doctor","2026-03-12T19:48:21Z","Lokendrakushwah12"
"fix: retry Redis pconnect on stale persistent connection","2026-03-11T11:58:12Z","claudear"
"Fix: Handle duplicate relationship attribute in Databases worker","2026-03-11T09:41:35Z","claudear"
"Fix for user errors on builds","2026-03-09T19:20:35Z","eldadfux"
"Optimizations","2026-03-06T11:24:48Z","hamzaMissewi"
"Fix session alert email translation when locale header is used","2026-03-05T14:20:45Z","Safal2004"
"Fix V21 backward compat filter, remove outdated comment, patch phpunit CVE","2026-03-04T13:13:57Z","Copilot"
"refactor: Replace usage of utopia injection with route","2026-03-03T08:13:02Z","HarshMN2345"
"Fix webhooks error message","2026-02-27T05:23:56Z","eldadfux"
"feat: backup policy migration support","2026-02-25T23:10:57Z","premtsd-code"
"Pin projects to specific database workers, scale to 4 in dev","2026-02-24T04:57:31Z","Copilot"
"fix: large file downloads stuck at 0 bytes in browsers","2026-02-23T10:53:09Z","lohanidamodar"
"ci: declare explicit token permissions for maintenance workflows","2026-02-22T03:23:38Z","Rohan5commit"
"ci: declare explicit token permissions in core automation workflows","2026-02-21T10:56:15Z","Rohan5commit"
"feat: add console PHP SDK configuration","2026-02-19T10:55:22Z","premtsd-code"
"feat/logs","2026-02-11T22:39:35Z","loks0n"
"fix: prevent email recipient exposure in BCC","2026-02-11T13:47:19Z","tanujbhaud"
"fix: prevent status code contamination in batched GraphQL queries","2026-02-11T13:33:08Z","tanujbhaud"
